DataDate,Call Volume,Put Volume,Total Volume,Percent of cPut,Put signals,Percent of calls,Call signals
2019-09-09,154738.0,76901.0,231639.0,0.33198640988779954,False,0.6680135901122004,True
2019-09-10,157965.0,73372.0,231337.0,0.31716500170746575,False,0.6828349982925342,True
2019-09-11,172529.0,74102.0,246631.0,0.30045695796554367,False,0.6995430420344564,True
2019-09-12,159158.0,86828.0,245986.0,0.35297943785418684,False,0.6470205621458132,True
2019-09-13,128625.0,105957.0,234582.0,0.45168427245057163,False,0.5483157275494284,False
2019-09-16,93941.0,58684.0,152625.0,0.3844979524979525,False,0.6155020475020475,True
2019-09-17,72302.0,44641.0,116943.0,0.3817329810249438,False,0.6182670189750562,True
2019-09-18,171381.0,122230.0,293611.0,0.4162991168587008,False,0.5837008831412992,False
2019-09-19,112281.0,69830.0,182111.0,0.38344745786910184,False,0.6165525421308982,True
2019-09-20,189999.0,88380.0,278379.0,0.3174808444602502,False,0.6825191555397497,True
2019-09-23,444931.0,88210.0,533141.0,0.1654534166383752,False,0.8345465833616248,True
2019-09-24,264850.0,136923.0,401773.0,0.3407969176624611,False,0.6592030823375389,True
2019-09-25,217858.0,94258.0,312116.0,0.3019966935370183,False,0.6980033064629817,True
2019-09-26,172276.0,71762.0,244038.0,0.29406076102902007,False,0.7059392389709799,True
2019-09-27,174146.0,136106.0,310252.0,0.4386949963255676,False,0.5613050036744324,False
2019-10-01,114373.0,64921.0,179294.0,0.36209242919450735,False,0.6379075708054927,True
2019-10-10,129438.0,85705.0,215143.0,0.39836294929419036,False,0.6016370507058096,True
2019-10-11,249660.0,121894.0,371554.0,0.3280653686947254,False,0.6719346313052746,True
2019-10-14,195686.0,82984.0,278670.0,0.2977859116517745,False,0.7022140883482255,True
2019-10-15,147731.0,71378.0,219109.0,0.3257648019935283,False,0.6742351980064717,True
2019-10-16,178578.0,94139.0,272717.0,0.34518933546496916,False,0.6548106645350308,True
2019-10-17,123723.0,98127.0,221850.0,0.44231237322515216,False,0.5576876267748478,False
2019-10-18,186965.0,129223.0,316188.0,0.4086903993826458,False,0.5913096006173543,False
2019-10-21,199154.0,87381.0,286535.0,0.3049575095538067,False,0.6950424904461933,True
2019-10-22,106930.0,63717.0,170647.0,0.3733848236417868,False,0.6266151763582132,True
2019-10-23,98279.0,148192.0,246471.0,0.6012553200985106,True,0.39874467990148943,False
2019-10-24,78888.0,76910.0,155798.0,0.49365203661150975,False,0.5063479633884902,False
2019-10-25,181664.0,104907.0,286571.0,0.36607681865925024,False,0.6339231813407498,True
2019-10-28,226727.0,130017.0,356744.0,0.3644546229228803,False,0.6355453770771198,True
2019-10-29,271520.0,208947.0,480467.0,0.4348831449402352,False,0.5651168550597647,False
2019-10-30,277584.0,216948.0,494532.0,0.43869355269224236,False,0.5613064473077576,False
2019-10-31,264397.0,150843.0,415240.0,0.3632670262980445,False,0.6367329737019555,True
2019-11-07,163094.0,86100.0,249194.0,0.3455139369326709,False,0.654486063067329,True
2019-11-08,122112.0,64072.0,186184.0,0.34413268594508656,False,0.6558673140549134,True
2019-11-11,118892.0,64504.0,183396.0,0.35171977578573144,False,0.6482802242142686,True
2019-11-12,139463.0,83807.0,223270.0,0.37536166972723606,False,0.6246383302727639,True
2019-11-13,233471.0,128096.0,361567.0,0.35428011959056,False,0.6457198804094401,True
2019-11-14,307824.0,121652.0,429476.0,0.28325680596820313,False,0.7167431940317969,True
2019-11-15,355444.0,139365.0,494809.0,0.2816541332109966,False,0.7183458667890035,True
